Fecha,Páginas afectadas
2026-02-21,36.0
2026-02-22,48.0
2026-02-23,48.0
2026-02-24,48.0
2026-02-25,89.0
2026-02-26,89.0
2026-02-27,89.0
2026-02-28,89.0
2026-03-01,89.0
2026-03-02,89.0
2026-03-03,89.0
2026-03-04,93.0
2026-03-05,93.0
2026-03-06,93.0
2026-03-07,93.0
2026-03-08,93.0
2026-03-09,93.0
2026-03-10,93.0
2026-03-11,99.0
2026-03-12,99.0
2026-03-13,99.0
2026-03-14,99.0
2026-03-15,99.0
2026-03-16,100.0
2026-03-17,100.0
2026-03-18,103.0
2026-03-19,103.0
2026-03-20,103.0
2026-03-21,103.0
2026-03-22,103.0
2026-03-23,103.0
2026-03-24,103.0
2026-03-25,122.0
2026-03-26,122.0
2026-03-27,122.0
2026-03-28,122.0
2026-03-29,168.0
2026-03-30,168.0
2026-03-31,168.0
2026-04-01,168.0
2026-04-02,168.0
2026-04-03,168.0
2026-04-04,168.0
2026-04-05,170.0
2026-04-06,170.0
2026-04-07,173.0
2026-04-08,173.0
2026-04-09,173.0
2026-04-10,173.0
2026-04-11,174.0
2026-04-12,174.0
2026-04-13,174.0
2026-04-14,179.0
2026-04-15,179.0
2026-04-16,179.0
2026-04-17,179.0
2026-04-18,181.0
2026-04-19,181.0
2026-04-20,181.0
2026-04-21,186.0
2026-04-22,186.0
2026-04-23,186.0
2026-04-24,186.0
2026-04-25,187.0
2026-04-26,187.0
2026-04-27,187.0
2026-04-28,189.0
2026-04-29,189.0
2026-04-30,189.0
2026-05-01,189.0
2026-05-02,189.0
2026-05-03,189.0
2026-05-04,189.0
2026-05-05,191.0
2026-05-06,191.0
2026-05-07,191.0
2026-05-08,191.0
2026-05-09,191.0
2026-05-10,191.0
2026-05-11,191.0
2026-05-12,191.0
2026-05-13,191.0
2026-05-14,191.0
2026-05-15,191.0
2026-05-16,191.0
2026-05-17,191.0
2026-05-18,191.0
