Fecha,Sin indexar,Indexadas,Impresiones
2026-02-21,1364.0,425.0,486.0
2026-02-22,1378.0,415.0,415.0
2026-02-23,1378.0,415.0,554.0
2026-02-24,1378.0,415.0,624.0
2026-02-25,1408.0,369.0,605.0
2026-02-26,1408.0,369.0,689.0
2026-02-27,1408.0,369.0,581.0
2026-02-28,1408.0,369.0,590.0
2026-03-01,1408.0,369.0,610.0
2026-03-02,1408.0,369.0,917.0
2026-03-03,1408.0,369.0,880.0
2026-03-04,1412.0,363.0,671.0
2026-03-05,1412.0,363.0,924.0
2026-03-06,1412.0,363.0,823.0
2026-03-07,1412.0,363.0,710.0
2026-03-08,1419.0,352.0,726.0
2026-03-09,1419.0,352.0,688.0
2026-03-10,1419.0,352.0,668.0
2026-03-11,1414.0,336.0,631.0
2026-03-12,1414.0,336.0,650.0
2026-03-13,1414.0,336.0,568.0
2026-03-14,1414.0,336.0,537.0
2026-03-15,1414.0,336.0,359.0
2026-03-16,1400.0,338.0,558.0
2026-03-17,1400.0,338.0,587.0
2026-03-18,1395.0,328.0,675.0
2026-03-19,1395.0,328.0,691.0
2026-03-20,1395.0,328.0,569.0
2026-03-21,1395.0,328.0,447.0
2026-03-22,1377.0,328.0,420.0
2026-03-23,1377.0,328.0,551.0
2026-03-24,1377.0,328.0,463.0
2026-03-25,1373.0,323.0,515.0
2026-03-26,1373.0,323.0,706.0
2026-03-27,1373.0,323.0,665.0
2026-03-28,1373.0,323.0,500.0
2026-03-29,1371.0,318.0,422.0
2026-03-30,1371.0,318.0,610.0
2026-03-31,1371.0,318.0,563.0
2026-04-01,1352.0,326.0,444.0
2026-04-02,1352.0,326.0,430.0
2026-04-03,1352.0,326.0,368.0
2026-04-04,1352.0,326.0,415.0
2026-04-05,1323.0,327.0,380.0
2026-04-06,1323.0,327.0,547.0
2026-04-07,1295.0,324.0,623.0
2026-04-08,1295.0,324.0,578.0
2026-04-09,1295.0,324.0,622.0
2026-04-10,1295.0,324.0,432.0
2026-04-11,1271.0,321.0,429.0
2026-04-12,1271.0,321.0,446.0
2026-04-13,1271.0,321.0,691.0
2026-04-14,1253.0,315.0,612.0
2026-04-15,1253.0,315.0,541.0
2026-04-16,1253.0,315.0,685.0
2026-04-17,1253.0,315.0,530.0
2026-04-18,1226.0,313.0,528.0
2026-04-19,1226.0,313.0,536.0
2026-04-20,1226.0,313.0,682.0
2026-04-21,1203.0,291.0,600.0
2026-04-22,1203.0,291.0,607.0
2026-04-23,1203.0,291.0,570.0
2026-04-24,1203.0,291.0,462.0
2026-04-25,1183.0,283.0,463.0
2026-04-26,1183.0,283.0,455.0
2026-04-27,1183.0,283.0,544.0
2026-04-28,1129.0,279.0,722.0
2026-04-29,1129.0,279.0,608.0
2026-04-30,1129.0,279.0,631.0
2026-05-01,1129.0,279.0,453.0
2026-05-02,1083.0,275.0,566.0
2026-05-03,1083.0,275.0,613.0
2026-05-04,1083.0,275.0,677.0
2026-05-05,1045.0,273.0,781.0
2026-05-06,1045.0,273.0,704.0
2026-05-07,1045.0,273.0,772.0
2026-05-08,1045.0,273.0,642.0
2026-05-09,1022.0,278.0,503.0
2026-05-10,1022.0,278.0,601.0
2026-05-11,1022.0,278.0,768.0
2026-05-12,975.0,281.0,752.0
2026-05-13,975.0,281.0,699.0
2026-05-14,975.0,281.0,724.0
2026-05-15,975.0,281.0,567.0
2026-05-16,964.0,283.0,409.0
2026-05-17,964.0,283.0,414.0
2026-05-18,964.0,283.0,710.0
