Fecha,Clics,Impresiones,CTR,Posición
2025-05-21,31.0,976.0,0.0318,41.3
2025-05-22,21.0,834.0,0.0252,40.4
2025-05-23,15.0,651.0,0.023,40.9
2025-05-24,3.0,597.0,0.005,42.7
2025-05-25,5.0,700.0,0.0070999999999999995,43.1
2025-05-26,33.0,844.0,0.0391,39.5
2025-05-27,42.0,787.0,0.053399999999999996,36.2
2025-05-28,22.0,762.0,0.028900000000000002,41.4
2025-05-29,38.0,820.0,0.0463,40.8
2025-05-30,19.0,722.0,0.0263,44.9
2025-05-31,3.0,740.0,0.0040999999999999995,46.5
2025-06-01,2.0,699.0,0.0029,44.9
2025-06-02,16.0,818.0,0.0196,39.5
2025-06-03,25.0,794.0,0.0315,40.3
2025-06-04,12.0,847.0,0.014199999999999999,39.0
2025-06-05,14.0,754.0,0.018600000000000002,42.9
2025-06-06,12.0,768.0,0.015600000000000001,43.7
2025-06-07,1.0,660.0,0.0015,45.6
2025-06-08,4.0,706.0,0.005699999999999999,45.8
2025-06-09,13.0,807.0,0.0161,40.5
2025-06-10,19.0,762.0,0.024900000000000002,38.3
2025-06-11,19.0,963.0,0.0197,39.2
2025-06-12,28.0,800.0,0.035,39.8
2025-06-13,9.0,646.0,0.0139,42.9
2025-06-14,2.0,524.0,0.0038,50.4
2025-06-15,7.0,597.0,0.011699999999999999,46.2
2025-06-16,19.0,680.0,0.0279,41.5
2025-06-17,22.0,621.0,0.0354,41.4
2025-06-18,8.0,620.0,0.0129,43.7
2025-06-19,20.0,491.0,0.0407,39.1
2025-06-20,20.0,555.0,0.036000000000000004,42.8
2025-06-21,7.0,559.0,0.0125,48.8
2025-06-22,6.0,625.0,0.0096,47.4
2025-06-23,23.0,664.0,0.0346,41.8
2025-06-24,19.0,663.0,0.0287,44.7
2025-06-25,16.0,572.0,0.027999999999999997,40.5
2025-06-26,10.0,573.0,0.0175,44.6
2025-06-27,12.0,557.0,0.0215,43.4
2025-06-28,2.0,474.0,0.0042,47.8
2025-06-29,2.0,503.0,0.004,50.3
2025-06-30,26.0,621.0,0.04190000000000001,40.3
2025-07-01,29.0,573.0,0.0506,44.5
2025-07-02,31.0,581.0,0.053399999999999996,39.6
2025-07-03,19.0,522.0,0.0364,46.9
2025-07-04,29.0,558.0,0.052000000000000005,40.5
2025-07-05,6.0,473.0,0.0127,46.1
2025-07-06,5.0,551.0,0.0091,49.4
2025-07-07,38.0,641.0,0.0593,38.7
2025-07-08,28.0,680.0,0.0412,41.6
2025-07-09,32.0,790.0,0.0405,42.4
2025-07-10,24.0,766.0,0.0313,43.6
2025-07-11,19.0,604.0,0.0315,41.3
2025-07-12,4.0,619.0,0.006500000000000001,46.9
2025-07-13,8.0,599.0,0.0134,48.3
2025-07-14,22.0,676.0,0.0325,38.9
