País,Clics,Impresiones,CTR,Posición
España,3018.0,101411.0,0.0298,26.43
México,350.0,17364.0,0.0202,28.32
La India,136.0,2805.0,0.048499999999999995,24.58
República Dominicana,126.0,858.0,0.1469,7.55
Portugal,117.0,1286.0,0.091,15.78
Colombia,97.0,3589.0,0.027000000000000003,18.8
Estados Unidos,92.0,29138.0,0.0032,26.38
Argentina,85.0,3903.0,0.0218,29.64
Perú,76.0,2092.0,0.0363,25.57
Reino Unido,52.0,4233.0,0.0123,36.87
Brasil,50.0,6657.0,0.0075,39.97
Alemania,49.0,1529.0,0.032,25.62
Países Bajos,44.0,660.0,0.0667,26.99
Francia,40.0,1231.0,0.0325,19.39
Chile,31.0,1095.0,0.028300000000000002,22.39
Tailandia,26.0,421.0,0.061799999999999994,26.37
Irlanda,25.0,374.0,0.0668,19.75
Israel,23.0,125.0,0.184,16.08
Polonia,22.0,403.0,0.0546,20.51
Venezuela,20.0,944.0,0.0212,15.63
Andorra,19.0,137.0,0.1387,5.72
Italia,18.0,1030.0,0.0175,24.3
Costa Rica,17.0,374.0,0.0455,21.47
Panamá,15.0,213.0,0.0704,16.53
Suiza,14.0,191.0,0.0733,10.24
Ecuador,12.0,818.0,0.0147,22.27
Bolivia,12.0,412.0,0.0291,27.1
Grecia,11.0,247.0,0.044500000000000005,13.99
Túnez,8.0,132.0,0.060599999999999994,19.36
Chequia,8.0,105.0,0.0762,21.9
Canadá,6.0,1330.0,0.0045000000000000005,22.48
Dinamarca,6.0,173.0,0.0347,20.42
Austria,6.0,147.0,0.0408,22.5
Filipinas,5.0,671.0,0.0075,25.77
Ucrania,5.0,399.0,0.0125,35.84
Guatemala,5.0,230.0,0.0217,10.11
Bélgica,5.0,187.0,0.026699999999999998,12.97
Turquía,4.0,585.0,0.0068000000000000005,32.09
Uruguay,4.0,289.0,0.0138,37.35
Rumanía,4.0,209.0,0.0191,23.49
Irán,4.0,207.0,0.019299999999999998,13.03
Cuba,4.0,114.0,0.0351,9.06
Bulgaria,4.0,87.0,0.046,22.98
Hungría,4.0,86.0,0.04650000000000001,22.37
Indonesia,3.0,783.0,0.0038,29.12
Marruecos,3.0,421.0,0.0070999999999999995,30.89
